,,,,,,,,Intelligence,,
,"合计
In Total",22,22,374,218,156,,,,
"学生在专业选修课模块选修不低于8学分课程；计算机科学与技术专业学生必须在《Java EE开发实践》和《移动应用开发实践》两
门课程中至少选修其中一门；人工智能专业学生必须选修《人工智能综合实践》课程；网络空间安全专业、数据科学与大数据技术
专业学生在《Java EE开发实践》、《移动应用开发实践》和《人工智能综合实践》三门课程中至少选修其中一门。",,,,,,,,,,
（五）跨专业选修课模块,,,,,,,,,,
"学生需在全校范围内选择本专业培养方案以外的至少2学分的学科基础课、大类平台课、专业核心课或专业选修课；建议学生优先
跨选《微观经济学》等行业背景课。",,,,,,,,,,
四、实验与实践课,,,,,,,,,,
（一）其他实验与实践课,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
CST131,"学术前沿系列
Academic Frontier Series",1.0,0.0,0,0,0,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence","一
二
三
四","1-2
1-2
1-2
1-2"
CST421,"科技竞赛
Science and technology
competition",1.0,0.0,0,0,0,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence","一
二
三
四","1-2
1-2
1-2
1-2"
MTT102,"军事技能
Military Skills",2.0,56.0,112,0,112,"必修
Compulsory","武装部
Office of
Arming",一,1
PRT102,"名著阅读
Classics Reading",2.0,2.0,34,0,34,"必修
Compulsory","人文与艺术
学院
School of
Humanities
and Arts","一
二
三
四","1-2
1-2
1-2
1-2"
