Code,,,,,,,,,,
PED100,"体育Ⅰ
Physical Education Ⅰ",1.0,2.0,36,36,0,"限选
Restricted Elective","体育学院
Department
of Physical
Education",一,1
PED200,"体育Ⅱ
Physical Education Ⅱ",1.0,2.0,36,36,0,"限选
Restricted Elective","体育学院
Department
of Physical
Education",一,2
PED300,"体育Ⅲ
Physical Education Ⅲ",1.0,2.0,36,36,0,"限选
Restricted Elective","体育学院
Department
of Physical
Education",二,1
PED400,"体育Ⅳ
Physical Education Ⅳ",1.0,2.0,36,36,0,"限选
Restricted Elective","体育学院
Department
of Physical
Education",二,2
,"合计
In Total",4,8,144,144,0,,,,
“外语类课程”详见原则性意见附件3；“体育类课程”详见原则性意见附件5。,,,,,,,,,,
（二）通识核心课模块,,,,,,,,,,
哲学智慧与思维表达,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
"HUM10
2","沟通与写作
Communication and Writing",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
"HUM12
9","哲学导论
Introduction to the Philisophy",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
"HUM13
0","逻辑导论
Introduction to Logic",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities","一
二
三","1-2
1-2
1-2"
