FIN805,"国际金融学（双语）
International Finance
(Bilingual)",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,1
FEG405,"金融经济学
Financial Economics",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,2
SFS404,"投资银行学
Investment Banking",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,2
,"合计
In Total",15,15,255,255,0,,,,
信用管理专业核心课模块,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
"CRM30
2","信用管理学
Credit Management",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",二,1
"CRM30
3","信用评级
Credit Rating",3.0,3.0,51,36,15,"必修
Compulsory","金融学院
School of
Finance",二,2
"CRM40
8","信用评分
Credit Scoring",3.0,3.0,51,36,15,"必修
Compulsory","金融学院
School of
Finance",二,2
FIN302,"商业银行经营管理
Commercial Bank
Management",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,1
"CRM41
0","绿色金融
Green Finance",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,2
,"合计
In Total",15,15,255,225,30,,,,
投资学专业核心课模块,,,,,,,,,,
"课程
代码
Course","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
