CST308,"自然语言处理
Natural Language Processing",3.0,3.0,51,33,18,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,2
CST331,"智能语音处理
Intelligent Speech
Processing",3.0,3.0,51,42,9,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,2
CST344,"机器视觉
Machine Vision",3.0,3.0,51,39,12,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,2
,"合计
In Total",15,15,255,183,72,,,,
网络空间安全专业核心课,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
CST332,"现代密码学
Modern Cryptography",3.0,3.0,51,51,0,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",二,1
CST333,"网络安全原理与实践
Principles and Practices of
Cybersecurity",3.0,3.0,51,27,24,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,1
CST326,"区块链技术
Financial Certification-Theory
and Practice",3.0,3.0,51,39,12,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial",三,2
