Code,,,,,,,,,,
PFC200,"财政学
Public Finance",3.0,3.0,51,51,0,"必修
Compulsory","财政税务学
院
School of
Public
Finance and
Taxation",二,1
INV302,"工程造价
Project Cost",3.0,3.0,51,51,0,"必修
Compulsory","财政税务学
院
School of
Public
Finance and
Taxation",二,2
INV205,"投资项目经济评价
Economic Evaluation of
Investment Projects",3.0,3.0,51,36,15,"必修
Compulsory","财政税务学
院
School of
Public
Finance and
Taxation",三,1
SFS404,"投资银行学
Investment Banking",3.0,3.0,51,51,0,"必修
Compulsory","财政税务学
院
School of
Public
Finance and
Taxation",三,1
INV207,"公共投资学
Public Investments",3.0,3.0,51,51,0,"必修
Compulsory","财政税务学
院
School of
Public
Finance and
Taxation",三,2
,"合计
In Total",15,15,255,240,15,,,,
（四）专业选修课,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
FTA200,"财政与税收
Public Finance and Taxation",2.0,2.0,34,34,0,"限选
Restricted Elective","财政税务学
院
School of
Public",二,1
