,,,,,,,,Intelligence,,
CST334,"数据安全与隐私保护
Data Security and Privacy
Protection",3.0,3.0,51,39,12,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,2
CST335,"系统与应用安全
System and Application
Security",3.0,3.0,51,33,18,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,2
,"合计
In Total",15,15,255,189,66,,,,
数据科学与大数据技术专业核心课,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
CST327,"大数据技术
Big Data Technology",3.0,3.0,51,24,27,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,1
DSC202,"数据可视化
Data Visualization",3.0,3.0,51,33,18,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,1
CST123,"数据仓库
Data Warehouse",3.0,3.0,51,39,12,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,2
