CST308,"自然语言处理
Natural Language Processing",3.0,3.0,51,33,18,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,2
CST334,"数据安全与隐私保护
Data Security and Privacy
Protection",3.0,3.0,51,39,12,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,2
,"合计
In Total",15,15,255,168,87,,,,
（四）专业选修课模块,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
CST132,"JAVA EE开发实践
JAVA EE Development
Practice",2.0,2.0,34,10,24,"限选
Restricted Elective","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",二,2
CST403,"矩阵分析
Matrix Analysis",2.0,2.0,34,34,0,"限选
Restricted Elective","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",二,2
CST339,"金融科技基础
Basics of Financial
Technology",2.0,2.0,34,18,16,"限选
Restricted Elective","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,1
CST412,"图论及其应用
Graph theory and its
applications",2.0,2.0,34,34,0,"限选
Restricted Elective","计算机与人
工智能学院
School of
Computing
and Artificial",三,1
