,"合计
In Total",18,70,316,62,254,,,,
（二）毕业实习,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
JTC030,"计算机科学与技术毕业实习
Graduatin Internship in
Computer Science and
Technology",4.0,0.0,0,0,0,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",四,2
JTC031,"人工智能毕业实习
Graduatin Internship in
Artificial Intelligence",4.0,0.0,0,0,0,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",四,2
JTC036,"网络空间安全毕业实习
Graduation Internship of the
Cybersecurity",4.0,0.0,0,0,0,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",四,2
STA105,"数据科学与大数据技术毕业
实习
Graduation Internship in Data
Science and Big Data
Technology",4.0,0.0,0,0,0,"必修
Compulsory","统计与数据
科学学院
School of
Statistics and
Data Science",四,2
,"合计
In Total",16,0,0,0,0,,,,
（三）毕业论文,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
