,投资组合管理与投资分析（双语）,H,H,M,H,H,H
,金融经济学,H,H,H,H,H,H
信用管理专业核心课,信用管理学,H,H,M,H,H,H
,信用评级,H,H,H,H,H,H
,信用评分,H,H,H,H,H,H
,商业银行经营与管理,H,H,H,H,H,H
,绿色金融,H,H,M,H,H,H
投资学专业核心课,财政学,H,H,M,H,H,H
,工程造价,H,H,H,H,H,H
,投资项目经济评价,H,H,H,H,H,H
,投资银行学,H,H,H,H,H,H
,公共投资学,H,H,H,H,H,H
专业选修课,专业选修课,M,M,H,H,H,H
跨专业选修课,跨专业选修课,H,H,H,M,M,M
实验与实践课,劳动教育,M,H,H,H,H,H
,创新、创业与社会实践,M,H,H,H,H,H
,名著阅读,M,M,M,H,H,H
,金融数据分析与编程,H,H,H,H,H,H
,军事技能,M,M,H,H,H,M
,毕业实习,H,H,H,H,H,H
,毕业论文,H,H,H,H,H,H
