FIN200,"货币金融学
Monetary Finance",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",二,1
FIN303,"公司金融
Corporate Finance",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",二,1
FIN304,"投资学
Investments",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",二,2
FEG403,"金融计量学
Financial Econometrics",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,2
FEG404,"金融风险管理
Financial Risk Management",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,2
,"合计
In Total",15,15,255,255,0,,,,
（三）专业核心课模块,,,,,,,,,,
金融学专业核心课模块,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
FIN305,"国际金融学
International Finance",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",二,2
FEG401,"衍生金融工具
Derivative Financial
Instruments",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,1
FIN302,"商业银行经营管理
Commercial Bank
Management",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,1
SFS404,"投资银行学
Investment Banking",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,1
FEG405,"金融经济学
Financial Economics",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,2
