专业,"计算机科学与技
术",人工智能,网络空间安全,"数据科学与大
数据技术"
"数学与自然科学类课
程学分（≧15%）",16.6%,16.7%,16.7%,16.7%
"工程基础类课程、专
业基础类课程与专业
类课程学分（≧30%）",35.1%,34.7%,34.7%,34.7%
"工程实践与毕业设计
（论文）学分（≧
20%）",21.9%,21.1%,20.8%,21.6%
"人文社会科学类通识
教育课程学分（≧15%）",23.3%,23.5%,23.5%,23.5%
