科技探索与技术创新,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
CST121,"计算机与大数据基础
Basis Of Computer And Big
Data",2.0,2.0,34,34,0,"限选
Restricted Elective","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",一,1
"HUM14
8","双碳战略与可持续发展
Dual Carbon Strategy and
Sustainable Development",2.0,2.0,34,34,0,"限选
Restricted Elective","公共管理学
院
School of
Public
Administrati
on","一
二
三","1-2
1-2
1-2"
"HUM40
1","数字经济
Digital economics",2.0,2.0,34,34,0,"限选
Restricted Elective","经济学院
School of
Economics","一
二
三","1-2
1-2
1-2"
PAD108,"数字政府与社会
Digital Government and
Society",2.0,2.0,34,34,0,"限选
Restricted Elective","公共管理学
院
School of
Public
Administrati
on","一
二
三","1-2
1-2
1-2"
,"合计
In Total",8,8,136,136,0,,,,
"详见原则性意见附件6，学生需在任意4个模块中选择1门课，修读不少于8个学分；计算机学院学生不修读《计算机与大数据基
础》。",,,,,,,,,,
（三）通识选修课模块,,,,,,,,,,
"（1）动态开课，学生至少修读2个学分；（2）学生应在通识核心课模块或通识选修课模块的“艺术创作与审美体验模块”中至少
选修1门艺术类课程。",,,,,,,,,,
三、专业课程板块,,,,,,,,,,
（一）学科基础课模块,,,,,,,,,,
"课程
代码
Course","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
