"HUM13
8","英语文学与当代世界
Literature and the
Contemporary World",2.0,2.0,34,34,0,"限选
Restricted Elective","外国语学院
School of
Foreign
Languages
for
Economics
and Trade","一
二
三","1-2
1-2
1-2"
"HUM14
5","国际组织与全球治理
International Organizations
and Global Governance",2.0,2.0,34,34,0,"限选
Restricted Elective","国际商学院
International
Business
School","一
二
三","1-2
1-2
1-2"
"HUM14
6","英语国家与文化互鉴
Mutual learning between
countries and cultures",2.0,2.0,34,34,0,"限选
Restricted Elective","外国语学院
School of
Foreign
Languages
for
Economics
and Trade","一
二
三","1-2
1-2
1-2"
"HUM15
0","全球粮食安全与可持续农业
Sustainable Agriculture and
Food Security",1.0,2.0,16,16,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
,"合计
In Total",9,10,152,152,0,,,,
科学探索与技术创新,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
CST121,"计算机与大数据基础
Basis Of Computer And Big
Data",2.0,2.0,34,18,16,"限选
Restricted Elective","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence","一
二
三","1-2
1-2
1-2"
CST338,"大模型应用
Large Scale Model
Application",2.0,2.0,34,34,0,"限选
Restricted Elective","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence","一
二
三","1
1
1"
