,编译原理,,H,M,,,,,,,,,
,数字图像处理,,H,M,M,,,M,,,,,
,软件工程,,M,M,H,,,,,,,,
,大数据技术,,H,M,M,,H,,,,,,
,数字逻辑电路,,H,M,H,,,,,,,,
"人工
智能
专业
核心
课程",智能语音处理,,H,M,M,,,,,,,,
,深度学习,,H,M,H,M,H,,,,,,
,自然语言处理,,H,M,M,,M,M,,,,,
,机器视觉,,H,M,,,M,M,,,,,
,数据可视化,,,M,H,,H,,,,,,
"网络
空间
安全
专业
核心
课程",现代密码学,,H,M,H,,,,,,,,
,数据安全与隐私保护,,H,M,,,,M,,,,,
,网络安全原理与实践,,M,M,,,,H,,,,,
,系统与应用安全,,H,M,,L,,M,,,,,
,区块链技术,,H,H,M,L,M,H,,,,,
"数据
科学
与大
数据
技术
专业
核心
课程",大数据技术,,H,M,M,,H,,,,,,
,数据可视化,,,M,H,,H,,,,,,
,自然语言处理,,H,M,M,,M,M,,,,,
,数据仓库,,H,M,M,,M,M,,,,,
,数据安全与隐私保护,,H,M,,,,M,,,,,
"专业
选修
课程",Java EE开发实践,,,H,H,,L,,,,,,
,移动应用开发实践,,M,H,H,,M,L,,,,,
,人工智能综合实践,,,H,H,H,L,H,,M,M,M,L
,金融科技基础,,H,H,H,,L,H,,,,,
,矩阵分析,,H,,,H,,,,,,,
,博弈论,,H,M,,M,,,,,,,
,知识图谱及应用,,H,M,H,L,H,,,,,,
,算法交易,,H,M,H,L,H,,,,,,
,图论及其应用,,L,M,M,,M,,,,,,
,联邦学习,,,M,M,L,L,,,,,,
,强化学习,,,M,M,L,L,,,,,,
"实践
教育
课程",劳动教育,,,,,,,,,H,M,L,
,名著阅读,,,,,,,M,,,,,
,"科学研究与论文写作指
导",,,H,L,H,,,,,H,,
,创新、创业与社会实践,,,,,L,,H,L,M,M,H,
,科技竞赛,,,M,H,M,M,,,M,M,,
,学术前沿系列,,,,,H,,,,,,,M
,计算机系统综合实验,,M,H,H,M,L,,,M,M,L,
,专业综合实训,,M,H,H,L,M,,,M,M,H,
,军事技能,,M,M,H,M,L,,,,,,
,创新程序设计实践,,,H,H,,,,,M,M,,
,科技创新与产业前沿,,H,H,L,M,M,H,,,,,
,毕业实习,,M,L,,,H,,,M,,,
,毕业论文,,,H,H,M,M,L,,,M,M,
