Code,,,,,,,,,,
CST124,"数据结构（C语言）
Data Structures (C Language)",3.0,3.0,51,39,12,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",一,2
"HUM11
7","大学物理
Principle of Physics",3.0,3.0,51,51,0,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",二,1
CST422,"大学物理实验
Experiments of University
Physics",2.0,2.0,34,0,34,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",二,2
FIT403,"计算机组成原理
Principles of Computer
Organization",3.0,3.0,51,51,0,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",二,2
CST204,"操作系统
Operating System",3.0,3.0,51,45,6,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,1
,"合计
In Total",14,14,238,186,52,,,,
（二）大类平台课模块,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
CST203,"计算机网络
Computer Networks",3.0,3.0,51,36,15,"必修
Compulsory","计算机与人
工智能学院
School of
Computing",二,1
