"目标
1：
思想
政
治方
面","政治思想素养过
硬，学习领会习近
平新时代中国特
色社会主义思想，
牢固树立“四个意
识”，坚定“四个自
信”，自觉做到“两
个维护”。具有良
好的思想政治素
质、高尚的职业操
守和服务社会的
奉献精神。","政治思想素养过
硬，学习领会习近
平新时代中国特
色社会主义思想，
牢固树立“四个意
识”，坚定“四个自
信”，自觉做到“两
个维护”。具有良
好的思想政治素
质、高尚的职业操
守和服务社会的
奉献精神。","政治思想素养过
硬，学习领会习近
平新时代中国特
色社会主义思想，
牢固树立“四个意
识”，坚定“四个自
信”，自觉做到“两
个维护”。具有良
好的思想政治素
质、高尚的职业操
守和服务社会的
奉献精神。","政治思想素养过
硬，学习领会习近
平新时代中国特
色社会主义思想，
牢固树立“四个意
识”，坚定“四个自
信”，自觉做到“两
个维护”。具有良
好的思想政治素
质、高尚的职业操
守和服务社会的
奉献精神。","政治思想素养过
硬 ，学习领会习
近平新时代中国
特色社会主义思
想，牢固树立“四
个意识”，坚定“四
个自信”，自觉做
到“两个维护”。具
有良好的思想政
治素质、高尚的职
业操守和服务社
会的奉献精神。"
"目标
2：
专业
素
养方
面","具有宽厚扎实的
经济、金融理论
基础，掌握必备
的专业分析技术
和研究方法，了
解本学科的前沿
理论和发展动态
具备一定的研究
能力。","具有坚实的数理
基础、熟练的数
据处理技能、扎
实的经济学与金
融学功底，熟练
掌握必备的专业
分析技术和研究
方法，熟悉证券
，
领域的前沿理论
和发展动态，具
备较强的研究能
力。","全面系统掌握国
际化的金融管理
理论知识，熟悉
各种金融业务、
金融法规和国内
外有关金融的方
针政策，了解本
学科在国际上的
前沿理论和发展
动态，具备一定
的研究能力。","掌握扎实的经济
金融、信用管理、
金融科技与数据
科学理论，掌握
必备数字金融技
术和方法，了解
本学科的前沿理
论和发展动态。","具有宽厚扎实的
专业理论基础，
掌握必备的专业
分析技术和研究
方法，了解本学
科的前沿理论和
发展动态，具备
一定的研究能力"
"目标
3：
应用
与
实践
方面","能够灵活运用现
代金融理论、技
术与方法，分析
具体金融问题并
提出解决方案，
具备较强的金融
业务操作能力及
金融管理能力。","能够聚焦证券市
场，灵活运用现
代金融理论、技
术与方法，分析
证券领域具体问
题并提出解决方
案，具备较强的
证券领域业务操
作能力及其管理
能力。","能够灵活运用现
代金融理论、技
术与方法，分析
实际金融问题并
提出解决方案，
能够胜任国际性
金融工作。","能够综合运用金
融风险管理的工
具、方法和手段，
务实地解决大数
据风险评估和风
险管理问题。","系统掌握本专业
研究方法，了解本
专业前沿问题，并
能够运用专业理
论、研究方法和实
践技能，分析和解
决问题。"
"目标
4：
创新
精
神方
面","具有较强的创造
性思维和创新能
力，具备自我更
新知识结构和终
身学习的能力。","具有较强的创造
性思维和创新能
力，具备自我更
新知识结构和终
身学习的能力，
具备出众的科学
思辨能力。","具有创造性思维、
较强的动手能力、
从事金融学理论
研究的能力以及
终身学习的能力。","具有创造性思维
较强的动手能力
数据分析能力和
终身学习的能力","具有创新意识和
思维，基本掌握
本专业及相关学
、
习研究方法，初
、
步塑造主动学习
和超越的习惯，
。
基本具备进行创
新性学习研究和
开展工作的能力"
