,,,,,,,,Intelligence,,
CST327,"大数据技术
Big Data Technology",3.0,3.0,51,24,27,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,1
CST208,"编译原理
Principle of Compiling",4.0,4.0,68,51,17,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,2
CST302,"数字图像处理
Digital Image Processing",3.0,3.0,51,36,15,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,2
,"合计
In Total",16,16,272,175,97,,,,
人工智能专业核心课,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
DSC202,"数据可视化
Data Visualization",3.0,3.0,51,33,18,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,1
DSC401,"深度学习
Deep Learning",3.0,3.0,51,36,15,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",三,1
