,"合计
In Total",23,62,245,24,221,,,,
（三）金融学（双语实验班）专业实验与实践课板块,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
MTT102,"军事技能
Military Skills",2.0,56.0,112,0,112,"必修
Compulsory","武装部
Office of
Arming",一,1
PRT102,"名著阅读
Classics Reading",2.0,0.0,34,0,34,"必修
Compulsory","人文与艺术
学院
School of
Humanities
and Arts","一
二
三
四","1-2
1-2
1-2
1-2"
PRT109,"创新、创业与社会实践
Innovation, Entrepreneurship
and Social Practice",2.0,0.0,0,0,0,"必修
Compulsory","金融学院
School of
Finance","一
二
三
四","1-2
1-2
1-2
1-2"
PRT115,"劳动教育
Labor Education",2.0,2.0,32,8,24,"必修
Compulsory","金融学院
School of
Finance","一
二
三
四","1-2
1-2
1-2
1-2"
FEG408,"金融数据分析与编程
Financial Data Analysis and
Programming",3.0,3.0,51,0,51,"必修
Compulsory","金融学院
School of
Finance",三,1-2
OPT058,"本科学术论文研究与写作
Research and Writing of
Undergraduate Thesis",2.0,1.0,16,16,0,"必修
Compulsory","金融学院
School of
Finance",三,1
FIN106,"金融双语毕业实习
Bilingual Graduation
Internship in Finance",4.0,0.0,0,0,0,"必修
Compulsory","金融学院
School of
Finance",四,2
FIN120,"金融双语毕业论文
Bilingual Graduation Thesis in
Finance",6.0,0.0,0,0,0,"必修
Compulsory","金融学院
School of
Finance",四,2
,"合计
In Total",23,62,245,24,221,,,,
（四）信用管理专业实验与实践课板块,,,,,,,,,,
