Code,,,,,,,,,,
"HUM12
7","艺术导论
Art Introduction",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
"HUM13
9","美学导论
Introduction to Aesthetics",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
"HUM14
0","中国艺术史
History of Chinese Art",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
"HUM14
1","西方艺术史
History of Western Art",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
"HUM14
2","艺术创作与表演
Art Creation and Performance",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
"HUM14
3","西方音乐史
History of Western Music",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
,"合计
In Total",12,12,204,204,0,,,,
世界文明与全球视野,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
"HUM10
6","社会学思想与方法
Sociological Thought and
Methods",2.0,2.0,34,34,0,"限选
Restricted Elective","社会发展研
究院","一
二
三","1-2
1-2
1-2"
