CST118,"离散数学
Discrete Mathematics",3.0,3.0,51,51,0,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",一,2
"MAT30
2","高等数学Ⅱ
Advanced MathematicsⅡ",5.0,5.0,85,85,0,"必修
Compulsory","数学学院
School of
Mathematics",一,2
"MAT32
8","概率论与数理统计B
Probability Theory and
Mathematical Statistics B",4.0,4.0,68,68,0,"必修
Compulsory","统计与数据
科学学院
School of
Statistics and
Data Science",二,1
,"合计
In Total",20,20,340,340,0,,,,
计算机类课程,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
CST117,"程序设计（C语言）
C Language Programming",3.0,3.0,51,34,17,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",一,1
CST116,"面向对象程序设计（JAVASE
Object-oriented
Programming(JAVA SE)","）
3.0",3.0,51,27,24,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",一,2
,"合计
In Total",6,6,102,61,41,,,,
体育类课程,,,,,,,,,,
"课程
代码
Course","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
