"CRM41
0","绿色金融
Green Finance",2.0,2.0,34,34,0,"限选
Restricted Elective","金融学院
School of
Finance",三,2
"CRM41
1","大数据智能风控
Big Data Intelligent Risk
Management",2.0,2.0,34,34,0,"限选
Restricted Elective","金融学院
School of
Finance",三,2
FEG407,"行为金融学
Behavioral Finance",2.0,2.0,34,34,0,"限选
Restricted Elective","金融学院
School of
Finance",三,2
FIN403,"金融伦理学
Financial Ethics",2.0,2.0,34,34,0,"限选
Restricted Elective","金融学院
School of
Finance",三,2
FIN517,"公司财务案例
Case Studies For Corporate
Finance",2.0,2.0,34,34,0,"限选
Restricted Elective","金融学院
School of
Finance",三,2
FMT301,"资产评估学
Assets Evaluation",2.0,2.0,34,34,0,"限选
Restricted Elective","财政税务学
院
School of
Public
Finance and
Taxation",三,2
INV209,"投资项目管理
Investment Project
Management",2.0,2.0,34,34,0,"限选
Restricted Elective","财政税务学
院
School of
Public
Finance and
Taxation",三,2
INV306,"项目投融资决策
Project Investment and
Financing Decision",2.0,2.0,34,34,0,"限选
Restricted Elective","财政税务学
院
School of
Public
Finance and
Taxation",三,2
INV308,"项目可行性研究仿真
Simulation of Project
Feasibility Study",2.0,2.0,34,34,0,"限选
Restricted Elective","财政税务学
院
School of
Public
Finance and
Taxation",三,2
,"合计
In Total",40,40,680,680,0,,,,
