"HUM14
3","西方音乐史
History of Western Music",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
,"合计
In Total",12,12,204,204,0,,,,
世界文明与全球视野,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
"HUM10
6","社会学思想与方法
Sociological Thought and
Methods",2.0,2.0,34,34,0,"限选
Restricted Elective","社会发展研
究院","一
二
三","1-2
1-2
1-2"
"HUM13
8","英语文学与当代世界
Literature and the
Contemporary World",2.0,2.0,34,34,0,"限选
Restricted Elective","外国语学院
School of
Foreign
Languages
for
Economics
and Trade","一
二
三","1-2
1-2
1-2"
"HUM14
5","国际组织与全球治理
International Organizations
and Global Governance",2.0,2.0,34,34,0,"限选
Restricted Elective","国际商学院
International
Business
School","一
二
三","1-2
1-2
1-2"
"HUM14
6","英语国家与文化互鉴
Mutual learning between
countries and cultures",2.0,2.0,34,34,0,"限选
Restricted Elective","外国语学院
School of
Foreign
Languages
for
Economics
and Trade","一
二
三","1-2
1-2
1-2"
"HUM15
0","全球粮食安全与可持续农业
Sustainable Agriculture and
Food Security",1.0,2.0,17,17,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
,"合计
In Total",9,10,153,153,0,,,,
