"HUM13
7","中国文学经典选讲
Selected Lectures on Chinese
Literature Classics",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
"HUM14
4","中国史通论
General Knowledge of
HistoryGeneral Theory of
Chinese History",2.0,2.0,34,34,0,"限选
Restricted Elective","马克思主义
学院
School of
Marxism","一
二
三","1-2
1-2
1-2"
,"合计
In Total",10,10,170,170,0,,,,
艺术创作与审美体验,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
"HUM12
7","艺术导论
Art Introduction",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
"HUM13
9","美学导论
Introduction to Aesthetics",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
"HUM14
0","中国艺术史
History of Chinese Art",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
"HUM14
1","西方艺术史
History of Western Art",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
"HUM14
2","艺术创作与表演
Art Creation and Performance",2.0,2.0,34,34,0,"限选
Restricted Elective","人文与艺术
学院
School of
Humanities
and Arts","一
二
三","1-2
1-2
1-2"
