code,name,credit,hours,type,major
FIN403,金融伦理学 Financial Ethics,2.0,34,必修,1金融学类
FIN517,公司财务案例 Case Studies For Corporate Finance,2.0,34,必修,1金融学类
FMT301,资产评估学 Assets Evaluation,2.0,34,必修,1金融学类
INV209,投资项目管理 Investment Project Management,2.0,34,必修,1金融学类
INV306,项目投融资决策 Project Investment and Financing Decision,2.0,34,必修,1金融学类
INV308,项目可行性研究仿真 Simulation of Project Feasibility Study,2.0,34,必修,1金融学类
MTT102,军事技能 Military Skills,2.0,112,必修,1金融学类
PRT102,名著阅读 Classics Reading,2.0,34,必修,1金融学类
PRT109,"创新、创业与社会实践 Innovation, Entrepreneurship and Social Practice",2.0,0,必修,1金融学类
PRT115,劳动教育 Labor Education,2.0,32,必修,1金融学类
FEG408,金融数据分析与编程 Financial Data Analysis and Programming,3.0,51,必修,1金融学类
OPT058,本科学术论文研究与写作 Research and Writing of Undergraduate Thesis,2.0,16,必修,1金融学类
FIN102,金融学毕业实习 Graduation Internship in Finance,4.0,0,必修,1金融学类
FIN110,金融证期毕业实习 Graduation Internship in Financial Security and Future,4.0,0,必修,1金融学类
FIN124,金融证期毕业论文 Graduation Thesis in Financial Security and Future,6.0,0,必修,1金融学类
FIN106,金融双语毕业实习 Bilingual Graduation Internship in Finance,4.0,0,必修,1金融学类
FIN120,金融双语毕业论文 Bilingual Graduation Thesis in Finance,6.0,0,必修,1金融学类
FIN104,信用管理毕业实习 Graduation Internship in Credit Management,4.0,0,必修,1金融学类
FIN118,信用管理毕业论文 Graduation Thesis in Credit Management,6.0,0,必修,1金融学类
TAX104,投资学毕业实习 Graduation Internship in Investment Studies,4.0,0,必修,1金融学类
TAX108,投资学毕业论文 Graduation Thesis in Investment Studies,6.0,0,必修,1金融学类
专业课程,计算机科学与技术,10.0,10,必修,20252025计算机类(2025计算机类)
IPT107,思想道德与法治 Morality and the Rule of Law,3.0,51,必修,20252025计算机类(2025计算机类)
IPT206,形势与政策I Current Situation and Policy I,0.5,8,必修,20252025计算机类(2025计算机类)
IPT102,中国近现代史纲要 Outline of Chinese Current and Modern History,3.0,51,必修,20252025计算机类(2025计算机类)
IPT207,形势与政策II Current Situation and Policy II,0.5,8,必修,20252025计算机类(2025计算机类)
IPT103,马克思主义基本原理 Basic Theory of Marxism,3.0,51,必修,20252025计算机类(2025计算机类)
IPT208,形势与政策III Current Situation and Policy III,0.5,8,必修,20252025计算机类(2025计算机类)
IPT104,毛泽东思想和中国特色社会 主义理论体系概论 Maoism and Socialism with Chinese Characteristics Theories,3.0,51,必修,20252025计算机类(2025计算机类)
IPT209,形势与政策IV Current Situation and Policy IV,0.5,8,必修,20252025计算机类(2025计算机类)
IPT109,习近平新时代中国特色社会 主义思想概论 An Introduction to Xi Jinping Thought on Socialism with,3.0,51,必修,20252025计算机类(2025计算机类)
HUM104,大学生心理健康与人生发展 Mental Health and Career Development of College Students,2.0,2,必修,20252025计算机类(2025计算机类)
MTT101,军事理论 Military Theory,2.0,2,必修,20252025计算机类(2025计算机类)
MTT201,国家安全教育 National Security Education,1.0,1,必修,20252025计算机类(2025计算机类)
JOB100,大学生职业生涯规划与创业 基础 Career Planning and Entrepreneurship Foundation of College Students,2.0,2,必修,20252025计算机类(2025计算机类)
MAT302,高等数学Ⅱ Advanced MathematicsⅡ,5.0,85,必修,20252025计算机类(2025计算机类)
MAT328,概率论与数理统计B Probability Theory and Mathematical Statistics B,4.0,68,必修,20252025计算机类(2025计算机类)
CST117,程序设计（C语言） C Language Programming,3.0,51,必修,20252025计算机类(2025计算机类)
CST116,面向对象程序设计（JAVASE Object-oriented Programming(JAVA SE),3.0,51,必修,20252025计算机类(2025计算机类)
PED100,体育Ⅰ Physical Education Ⅰ,1.0,36,必修,20252025计算机类(2025计算机类)
PED200,体育Ⅱ Physical Education Ⅱ,1.0,36,必修,20252025计算机类(2025计算机类)
