课程设置,,,,,,,,,,
一、思想政治课程板块,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
IPT107,"思想道德与法治
Morality and the Rule of Law",3.0,3.0,51,34,17,"必修
Compulsory","马克思主义
学院
School of
Marxism",一,1
IPT206,"形势与政策I
Current Situation and Policy I",0.5,2.0,8,8,0,"必修
Compulsory","马克思主义
学院
School of
Marxism",一,1
IPT102,"中国近现代史纲要
Outline of Chinese Current and
Modern History",3.0,3.0,51,34,17,"必修
Compulsory","马克思主义
学院
School of
Marxism",一,2
IPT207,"形势与政策II
Current Situation and Policy II",0.5,2.0,8,8,0,"必修
Compulsory","马克思主义
学院
School of
Marxism",一,2
IPT103,"马克思主义基本原理
Basic Theory of Marxism",3.0,3.0,51,34,17,"必修
Compulsory","马克思主义
学院
School of
Marxism",二,1
IPT208,"形势与政策III
Current Situation and Policy
III",0.5,2.0,8,8,0,"必修
Compulsory","马克思主义
学院
School of
Marxism",二,1
IPT104,"毛泽东思想和中国特色社会
主义理论体系概论
Maoism and Socialism with
Chinese Characteristics
Theories",3.0,3.0,51,34,17,"必修
Compulsory","马克思主义
学院
School of
Marxism",二,2
IPT209,"形势与政策IV
Current Situation and Policy
IV",0.5,2.0,8,8,0,"必修
Compulsory","马克思主义
学院
School of
Marxism",二,2
IPT109,"习近平新时代中国特色社会
主义思想概论
An Introduction to Xi Jinping
Thought on Socialism with",3.0,3.0,51,34,17,"必修
Compulsory","马克思主义
学院
School of
Marxism",三,1
