,"合计
In Total",15,15,255,255,0,,,,
金融学专业（证券与期货方向）核心课模块,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
FEG401,"衍生金融工具
Derivative Financial
Instruments",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",二,2
SFS404,"投资银行学
Investment Banking",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",二,2
SFS304,"固定收益证券
Fixed Income Securities",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,1
SFS405,"资产定价
Asset Pricing",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,1
SFS406,"中国资本市场
Chinese Capital Market",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,2
,"合计
In Total",15,15,255,255,0,,,,
金融学专业（双语实验班）核心课模块,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
FEG801,"衍生金融工具（双语）
Financial Derivatives
(Bilingual)",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,1
FIN302,"商业银行经营管理
Commercial Bank
Management",3.0,3.0,51,51,0,"必修
Compulsory","金融学院
School of
Finance",三,1
